	SRR1171523	SRR1171525	SRR1171524	SRR1171527	SRR1171526	SRR1171528
ENSG00000141314.12	20.1513411422206	36.0373463443072	25.8406876002682	89.2040031690066	74.6519008653823	77.0715052168145
ENSG00000141337.12	271.035538362867	229.859830736662	277.290455402878	250.573042609569	245.853593516659	233.216372928802
ENSG00000141338.13	4.03026822844411	3.8959293345197	5.96323560006188	3.00687651131483	0.995358678205097	0
ENSG00000141349.8	2273.07128084248	2130.09936364865	2047.37755602125	2500.7189652435	2253.49204745634	2229.06807945254
ENSG00000141367.11	19172.9935297658	20589.012550603	21359.3160468217	20936.8811482851	21228.0145300801	21980.3929163798
ENSG00000141371.12	37.2799811131081	30.1934523425277	21.8651972002269	26.0595964313952	24.8839669551274	21.0195014227676
ENSG00000141376.21	234.76312430687	279.532929751788	276.296582802867	303.694527642798	272.728277828197	306.284163588899
ENSG00000141378.14	1697.75049123208	1810.63315821803	1875.43759621946	1892.32761778746	1936.96798778712	1899.76255716252
ENSG00000141380.13	2760.73373648422	2911.23319521984	2903.10186463013	2573.88629368549	2676.51948569351	2587.40053227877
ENSG00000141384.12	1249.38315081768	1355.78340841285	1309.92408681359	1643.75915951877	1518.91734294098	1580.46632126429
ENSG00000141385.9	8794.04527446506	8233.07266617375	7912.21976868211	9595.94523977605	8868.64582280741	9781.07466206118
ENSG00000141391.13	239.800959592425	222.067972067623	260.394621202702	311.712865006304	298.607603461529	241.223802042238
ENSG00000141401.11	1049.88487350969	973.008351296295	918.33828240953	1169.67496290147	1120.77387165894	1075.99828711786
ENSG00000141404.15	287.156611276643	243.495583407481	263.376239002733	256.586795632199	263.770049724351	265.246089382543
ENSG00000141424.12	4459.49179477341	4381.94651900103	4549.94876284722	4355.96177272475	4291.98662042038	4541.21323595698
ENSG00000141425.17	3691.72569725481	4298.18403830886	4327.32130044491	4392.04429086052	4305.92164191525	4492.16773263719
ENSG00000141428.16	523.934869697735	388.61895111834	431.340708404476	459.04981406073	474.786089503831	477.442960888578
ENSG00000141429.13	6428.27782436836	6465.29473063544	6410.47827006652	6886.74950308139	6808.25335892286	7045.53669118386
ENSG00000141437.8	19.1437740851095	20.4536290062284	15.901961600165	25.0573042609569	18.9118148858968	20.0185727835882
ENSG00000141441.15	49.3707857984404	43.8292050133466	41.7426492004332	25.0573042609569	31.8514777025631	16.0148582268705
ENSG00000141446.10	1491.19924452432	1503.8287231246	1515.65571501573	1434.28009589717	1528.87092972303	1541.43010433629
ENSG00000141447.16	2964.26228202065	3271.60665866292	3194.30653643315	3178.26847245977	3057.74185944606	3343.10165485923
ENSG00000141448.8	80.6053645688823	84.7364630258034	87.4607888009076	75.1719127828707	45.7864991974345	83.077077051891
ENSG00000141449.14	144.082089166877	163.629032049827	156.037998201619	192.440096724149	202.057811675635	234.217301567982
ENSG00000141452.9	1019.65786179636	980.800209965334	962.068676809984	1044.38844159668	986.400450101251	962.893350890591
ENSG00000141456.14	3609.1051985717	3652.43375111222	3642.5430790378	3979.09991663996	3733.59040194732	3872.59290498513
ENSG00000141458.12	1477.09330572477	1579.79934514774	1723.37508841788	1796.10756942539	1847.38570674866	1882.74677029647
ENSG00000141480.17	4087.69955069944	4003.06739121899	4131.52839824287	3211.34411408424	3269.75325790374	3239.00507638457
ENSG00000141497.13	3.02270117133309	0	1.98774520002063	2.00458434087655	2.98607603461529	0
ENSG00000141499.16	852.40173031593	762.628167232231	776.214500608055	796.822275498429	871.934202107665	837.777270993165
ENSG00000141503.15	3568.80251628726	3720.61251446631	3699.19381723839	3374.71773786567	3312.55368106656	3169.94100028119
ENSG00000141504.11	283.126343048199	224.989919068513	232.566188402413	173.396545485822	123.424476097432	168.156011382141
ENSG00000141505.11	95.7188704255477	99.3461980302523	81.4975532008457	89.2040031690066	76.6426182217925	78.0724338559939
